Белок,Общие липиды (жиры),Углеводы,Энергия,Общие сахара,Пищевые волокна,"Натрий, Na"
14.2,29.4,2.94,337.0,0.23,0.0,928.0
14.5,28.5,3.1,1370.0,,0.0,977.0
14.3,67.1,11.7,659.0,2.33,7.5,3.0
3.14,8.51,21.7,177.0,2.35,0.9,471.0
3.31,11.9,17.8,192.0,1.93,0.8,458.0
4.3,10.5,54.6,326.0,,1.1,302.0
10.7,4.53,47.5,274.0,5.73,4.0,473.0
11.7,4.98,52.2,301.0,6.3,4.4,520.0
8.7,3.1,47.5,250.0,0.53,6.5,596.0
9.56,3.41,52.2,275.0,0.58,7.1,655.0
3.1,1.53,39.8,776.0,,3.6,9.0
10.7,4.53,47.5,274.0,5.73,4.0,473.0
5.2,1.5,43.3,195.0,,4.7,631.0
9.21,4.57,49.5,275.0,3.65,1.8,527.0
10.1,5.02,54.4,302.0,4.01,2.0,579.0
11.2,7.45,46.4,1240.0,,4.9,409.0
7.85,9.2,46.1,299.0,,9.7,298.0
7.85,9.2,46.1,299.0,2.93,9.7,298.0
10.4,20.8,44.8,408.0,,2.1,750.0
10.4,20.8,44.8,408.0,2.08,2.1,750.0
11.4,22.9,49.3,448.0,2.29,2.3,824.0
7.05,5.29,44.4,253.0,14.1,3.5,388.0
7.05,5.29,44.4,1060.0,,3.5,388.0
10.4,3.94,54.1,293.0,5.87,2.5,524.0
7.0,12.2,69.5,418.0,,6.5,817.0
6.59,9.58,54.5,330.0,,2.3,599.0
7.0,12.2,69.5,418.0,,6.5,1110.0
6.7,7.1,43.5,266.0,,,658.0
7.91,3.82,55.2,285.0,15.0,1.6,314.0
8.69,4.2,60.7,313.0,16.4,1.8,346.0
8.7,3.9,49.5,260.0,,5.5,538.0
13.4,5.3,72.0,1650.0,,4.5,732.0
14.1,5.48,68.5,1600.0,,4.9,2100.0
10.8,2.42,51.9,272.0,4.62,2.2,602.0
11.8,2.66,57.0,299.0,5.08,2.4,662.0
9.36,18.8,45.0,384.0,3.55,1.5,177.0
9.5,6.0,47.8,287.0,,2.3,380.0
9.5,6.0,47.8,287.0,1.78,2.3,380.0
10.4,6.59,52.5,315.0,1.96,2.5,418.0
10.5,6.6,52.6,315.0,,2.5,417.0
10.8,2.42,51.9,272.0,4.62,2.2,602.0
10.8,2.42,51.9,272.0,,2.2,602.0
11.8,2.66,57.0,299.0,5.08,2.4,662.0
13.0,2.14,61.9,1340.0,,3.1,720.0
8.33,1.04,49.1,239.0,,4.2,375.0
8.33,1.04,49.1,239.0,0.0,4.2,375.0
9.15,1.14,54.0,263.0,0.0,4.6,412.0
6.05,17.8,47.5,369.0,25.2,1.3,303.0
4.31,5.24,45.8,248.0,3.53,4.3,447.0
4.74,5.76,50.3,273.0,3.88,4.7,491.0
3.13,10.7,52.8,320.0,,3.5,528.0
4.31,5.24,45.8,1040.0,,4.3,447.0
5.4,8.02,51.2,298.0,,5.5,515.0
7.25,9.34,49.1,1300.0,,4.9,510.0
12.1,2.2,43.8,245.0,1.44,3.0,404.0
13.3,2.42,48.1,269.0,1.58,3.3,444.0
6.44,8.96,51.1,301.0,21.7,2.3,460.0
6.6,5.0,56.0,290.0,,2.6,398.0
9.49,2.73,48.1,259.0,,2.1,618.0
9.49,2.73,48.1,259.0,4.69,2.1,618.0
10.4,3.0,52.9,285.0,5.15,2.3,679.0
4.29,2.21,39.5,195.0,,,126.0
7.33,3.26,56.1,282.0,7.05,2.0,433.0
8.14,3.62,62.3,314.0,7.83,2.2,482.0
10.1,3.44,50.3,272.0,3.11,1.7,565.0
11.1,3.78,55.2,299.0,3.42,1.9,621.0
8.5,3.3,48.3,259.0,3.85,5.8,603.0
9.34,3.63,53.1,285.0,4.23,6.4,663.0
13.4,4.23,43.3,1110.0,,7.4,381.0
14.5,4.6,47.1,288.0,,8.1,414.0
13.4,4.23,43.3,265.0,6.39,7.4,381.0
8.91,2.55,44.9,207.0,4.63,10.7,465.0
9.79,2.8,49.4,228.0,5.09,11.8,511.0
14.7,4.65,47.6,291.0,7.02,8.1,419.0
12.4,3.83,46.9,268.0,12.3,7.1,346.0
13.6,4.21,51.6,295.0,13.5,7.8,380.0
11.1,7.28,50.2,311.0,3.7,5.2,508.0
9.62,5.65,50.4,291.0,,2.2,465.0
10.2,6.7,46.2,286.0,,4.8,467.0
10.4,3.25,52.2,279.0,1.79,1.8,544.0
11.4,3.58,57.3,306.0,1.96,2.0,598.0
9.43,3.59,49.2,267.0,5.34,2.3,477.0
10.4,3.94,54.1,293.0,5.87,2.5,524.0
6.64,19.8,49.8,397.0,26.0,1.3,337.0
9.33,4.89,53.9,299.0,9.04,4.4,497.0
10.4,4.4,39.8,236.0,,4.5,353.0
9.23,4.84,53.3,296.0,8.94,4.4,491.0
11.4,4.8,43.7,259.0,,4.9,387.0
8.4,4.4,48.5,269.0,,4.0,447.0
8.4,4.4,48.5,269.0,8.14,4.0,447.0
9.2,4.8,52.7,292.0,,4.3,486.0
9.23,4.84,53.3,296.0,8.94,4.4,491.0
8.81,2.95,44.3,238.0,3.33,1.7,482.0
9.68,3.24,48.7,262.0,3.66,1.9,530.0
9.42,11.6,56.4,1540.0,,2.3,228.0
6.36,13.2,45.4,326.0,4.15,9.6,452.0
6.36,13.2,45.4,1360.0,,9.6,452.0
9.1,1.2,55.7,275.0,1.3,2.2,536.0
8.16,1.05,59.5,279.0,11.6,2.6,454.0
9.8,1.71,55.9,262.0,2.87,6.1,421.0
9.1,1.2,55.7,275.0,,2.2,536.0
9.1,1.2,55.7,275.0,,2.2,536.0
9.8,1.71,55.9,262.0,2.87,6.1,421.0
9.8,1.71,55.9,1100.0,,6.1,421.0
12.5,3.13,47.1,266.0,9.38,6.3,375.0
12.5,3.13,47.1,266.0,,6.3,375.0
13.7,3.44,51.7,292.0,10.3,6.9,412.0
7.06,17.4,51.3,390.0,,1.7,390.0
12.1,2.2,43.8,245.0,,3.0,404.0
13.2,2.4,48.1,270.0,,3.3,444.0
8.7,3.1,47.5,250.0,,6.5,596.0
8.7,3.1,47.5,250.0,0.53,6.5,596.0
9.56,3.41,52.2,275.0,0.58,7.1,655.0
4.97,12.9,43.2,305.0,22.6,1.4,285.0
6.84,24.9,39.2,409.0,0.18,3.5,170.0
8.82,3.26,52.2,270.0,11.3,2.5,432.0
7.9,4.4,52.3,274.0,,4.3,347.0
8.6,4.8,56.9,297.0,,4.7,377.0
9.69,3.58,57.4,297.0,12.4,2.8,475.0
7.9,4.4,52.3,274.0,,4.3,390.0
8.7,2.5,44.3,207.0,4.76,9.7,479.0
9.56,2.75,48.7,227.0,5.23,10.7,526.0
7.83,2.14,50.0,222.0,14.5,8.9,406.0
8.6,2.35,54.9,244.0,15.9,9.7,446.0
8.0,3.2,41.3,201.0,,12.0,459.0
9.5,3.8,49.2,239.0,,14.3,547.0
7.6,3.5,43.3,210.0,,,388.0
9.1,2.9,40.5,203.0,,12.0,513.0
13.3,2.92,42.5,907.0,,11.1,332.0
8.7,2.5,44.3,207.0,,9.7,479.0
4.31,5.24,45.8,248.0,3.53,4.3,447.0
8.9,4.6,43.5,243.0,,4.9,269.0
9.7,5.0,47.3,264.0,,5.3,292.0
4.74,5.76,50.3,273.0,3.88,4.7,491.0
10.6,5.8,55.8,1330.0,,2.2,506.0
8.5,3.3,48.3,259.0,3.85,5.8,603.0
8.5,3.3,48.3,259.0,,5.8,603.0
9.34,3.63,53.1,285.0,4.23,6.4,663.0
9.4,3.6,53.1,284.0,,6.4,664.0
7.12,17.1,47.8,374.0,,0.7,510.0
10.8,2.42,51.9,272.0,4.62,2.2,602.0
11.8,2.66,57.0,299.0,5.08,2.4,662.0
16.4,3.84,42.0,267.0,6.01,4.4,589.0
18.0,4.22,46.1,293.0,6.6,4.8,648.0
7.93,9.06,58.8,348.0,12.1,1.9,15.0
13.2,0.0,33.9,188.0,2.63,5.3,474.0
14.5,0.0,37.2,207.0,2.89,5.8,521.0
12.0,9.5,68.4,412.0,,3.0,713.0
10.0,4.2,76.7,389.0,,14.3,1430.0
2.9,8.8,21.9,179.0,,2.9,526.0
11.0,3.4,76.2,386.0,,3.2,1400.0
2.73,12.0,18.8,195.0,,0.8,479.0
11.2,8.23,48.0,306.0,3.1,2.7,512.0
12.3,9.05,52.7,336.0,3.4,2.9,563.0
8.64,2.87,45.4,241.0,3.53,1.7,474.0
9.5,3.15,49.9,265.0,3.88,1.9,521.0
9.67,3.26,47.9,258.0,3.54,1.9,531.0
10.6,3.59,52.7,284.0,3.9,2.0,584.0
10.7,4.53,47.5,274.0,,4.0,473.0
10.7,4.53,47.5,274.0,5.73,4.0,473.0
10.3,3.72,49.2,271.0,3.18,3.4,576.0
11.4,4.09,54.1,297.0,3.5,3.7,634.0
8.91,2.55,44.9,207.0,4.63,10.7,465.0
9.79,2.8,49.4,228.0,5.09,11.8,511.0
11.7,4.98,52.2,301.0,6.3,4.4,520.0
8.66,3.72,57.7,292.0,18.7,3.9,462.0
9.51,4.08,63.4,321.0,20.6,4.3,507.0
13.2,0.0,33.9,188.0,,5.3,474.0
14.3,0.0,36.8,856.0,,5.7,515.0
13.0,4.27,55.8,1310.0,,4.7,601.0
9.43,3.59,49.2,267.0,5.34,2.3,477.0
10.7,2.15,43.9,994.0,,9.2,478.0
10.9,3.57,46.2,260.0,4.88,4.2,464.0
12.4,4.12,53.4,301.0,5.65,4.7,535.0
9.43,3.59,49.2,1130.0,,2.3,477.0
8.85,3.33,49.4,1110.0,,2.7,490.0
8.2,3.6,49.6,267.0,,2.3,298.0
9.0,4.0,54.5,290.0,,2.9,537.0
9.0,4.0,54.4,293.0,,,376.0
8.2,3.6,49.6,267.0,4.31,2.3,298.0
9.01,3.96,54.5,293.0,4.74,2.5,327.0
10.1,3.44,50.3,272.0,3.11,1.7,565.0
11.1,3.78,55.2,299.0,3.42,1.9,621.0
7.9,5.7,49.6,285.0,,2.0,359.0
7.7,2.6,53.6,274.0,,2.0,336.0
10.7,2.15,43.9,238.0,5.0,9.2,478.0
11.7,2.36,48.2,262.0,5.5,10.1,525.0
10.4,3.94,54.1,293.0,5.87,2.5,524.0
10.7,2.15,43.9,238.0,5.0,9.2,478.0
11.7,2.36,48.2,262.0,5.5,10.1,525.0
12.3,3.55,43.1,254.0,4.41,6.0,450.0
10.4,4.26,47.0,267.0,3.38,6.8,607.0
11.4,4.68,51.6,293.0,3.71,7.4,667.0
13.5,3.9,47.4,279.0,4.85,6.6,495.0
8.63,4.14,56.4,290.0,19.5,6.5,480.0
9.48,4.55,61.9,319.0,21.4,7.2,528.0
12.3,3.55,43.1,1060.0,,6.0,450.0
12.4,3.5,42.7,1060.0,,6.0,455.0
16.3,4.07,51.2,306.0,,7.5,565.0
8.4,5.4,51.4,278.0,,6.0,346.0
9.2,5.9,56.4,305.0,,6.7,381.0
5.05,13.1,42.6,306.0,22.7,0.9,290.0
1.04,2.77,26.3,123.0,10.6,4.7,123.0
1.07,0.23,27.1,103.0,,4.9,2.0
6.56,1.63,40.1,201.0,0.67,1.6,245.0
11.2,15.8,66.3,453.0,0.86,10.2,438.0
12.0,9.5,68.4,412.0,1.26,3.0,713.0
12.0,10.9,72.2,434.0,1.34,2.5,4.0
15.1,11.0,67.9,425.0,3.29,7.1,577.0
12.2,12.8,44.4,342.0,1.11,2.4,615.0
12.2,12.8,44.4,342.0,1.11,2.4,615.0
11.1,9.16,46.4,313.0,2.8,2.4,514.0
12.2,12.8,44.4,342.0,1.11,2.4,615.0
14.5,14.4,36.4,333.0,1.25,1.9,632.0
12.5,13.2,43.8,344.0,1.09,2.3,637.0
4.4,7.5,72.8,376.0,35.1,2.1,337.0
4.4,7.5,72.8,376.0,,2.1,337.0
3.7,7.3,70.9,348.0,46.4,4.6,350.0
4.4,7.5,72.8,376.0,35.1,2.1,337.0
9.8,17.6,66.7,1940.0,,3.1,251.0
20.3,18.2,8.09,255.0,0.0,2.8,888.0
20.8,17.9,1.61,252.0,0.9,0.0,1100.0
5.4,18.5,47.8,371.0,27.5,1.9,445.0
14.0,14.5,25.6,292.0,2.86,1.1,594.0
4.01,9.02,71.8,385.0,31.0,1.8,311.0
3.99,5.99,76.8,372.0,4.87,1.5,361.0
8.96,27.5,36.3,427.0,3.12,1.5,437.0
5.47,0.22,12.4,71.0,,3.7,453.0
7.6,0.4,19.6,110.0,,5.4,241.0
7.6,0.4,19.6,110.0,,5.4,5.0
26.1,1.53,58.3,1420.0,,25.0,13.0
4.8,0.5,10.1,62.0,,,277.0
4.8,0.5,10.1,62.0,,3.6,41.0
5.6,0.6,11.7,72.0,,4.2,50.0
2.98,2.96,6.15,55.0,3.06,3.2,149.0
2.95,0.3,6.09,31.0,3.03,3.2,23.0
2.29,2.71,4.41,46.0,1.23,2.8,135.0
2.35,0.17,4.54,23.0,1.26,2.8,130.0
3.59,3.79,15.8,112.0,1.34,1.9,186.0
4.13,3.52,15.1,106.0,1.23,1.9,185.0
2.72,3.72,6.27,70.0,3.5,0.9,350.0
3.83,0.52,3.12,104.0,,2.8,56.0
3.2,3.15,2.88,46.0,0.39,2.7,159.0
3.17,0.49,2.85,22.0,0.38,2.7,33.0
3.17,0.49,2.85,92.0,,2.7,33.0
5.83,22.8,10.4,270.0,6.43,1.6,340.0
1.97,8.1,10.4,122.0,6.32,1.9,293.0
2.72,3.72,6.27,70.0,3.5,0.9,350.0
1.06,2.69,3.91,44.0,1.08,0.9,337.0
1.72,2.9,5.43,50.0,2.13,2.9,151.0
1.76,0.34,5.59,28.0,2.19,3.0,146.0
1.22,3.42,4.72,50.0,0.89,2.6,133.0
1.14,0.72,3.81,22.0,,2.5,7.0
1.2,0.76,4.67,26.0,0.88,2.6,7.0
1.2,0.76,4.67,26.0,,2.6,7.0
2.68,0.35,6.53,41.0,1.46,2.5,38.0
2.38,0.41,7.18,146.0,,3.3,262.0
2.38,0.41,7.18,146.0,,3.3,41.0
2.55,4.66,6.2,77.0,1.39,2.4,241.0
2.98,0.35,5.06,28.0,,2.3,27.0
2.61,2.62,6.33,60.0,1.42,2.4,171.0
2.59,3.37,6.32,67.0,1.41,2.4,153.0
2.6,3.0,6.33,63.0,1.42,2.4,162.0
2.67,0.35,6.51,41.0,1.45,2.5,158.0
3.1,0.12,5.35,28.0,,3.0,260.0
3.1,0.12,5.35,28.0,,3.0,11.0
2.81,0.29,4.78,26.0,,3.0,24.0
3.02,2.3,5.19,47.0,1.43,2.9,140.0
3.0,3.02,5.18,53.0,1.42,2.9,123.0
3.01,2.66,5.18,50.0,1.43,2.9,132.0
3.09,0.12,5.33,28.0,1.47,3.0,127.0
3.1,0.11,5.35,28.0,,3.0,260.0
3.1,0.11,5.36,116.0,,3.0,24.0
3.06,0.34,5.35,29.0,,3.0,17.0
2.98,0.35,5.06,28.0,,2.3,27.0
2.6,3.0,6.33,63.0,1.42,2.4,162.0
2.57,0.34,6.27,31.0,,2.4,36.0
2.82,0.37,6.64,34.0,,2.6,33.0
2.57,0.34,6.27,39.0,1.4,2.4,36.0
2.98,0.35,5.24,28.0,,,27.0
4.29,7.61,21.3,171.0,3.34,1.5,264.0
2.55,0.5,7.1,36.0,,2.6,257.0
2.55,0.5,7.1,36.0,,2.6,21.0
3.42,2.96,9.03,67.0,2.22,3.8,151.0
3.51,0.31,9.3,45.0,2.28,3.9,147.0
3.64,0.39,8.32,176.0,,4.1,259.0
3.64,0.39,8.32,175.0,,4.1,15.0
3.53,2.92,8.06,64.0,2.02,4.0,136.0
3.63,0.39,8.3,42.0,2.07,4.1,131.0
3.78,0.41,7.86,41.0,,3.8,10.0
3.42,2.96,9.03,67.0,2.22,3.8,151.0
3.38,0.3,8.95,43.0,2.2,3.8,25.0
3.98,0.565,9.62,,,4.78,25.7
3.38,0.3,8.95,43.0,,3.8,25.0
13.2,3.4,71.5,343.0,,10.0,1.0
12.6,3.1,70.6,1400.0,,10.0,11.0
3.22,3.34,19.0,112.0,0.86,2.6,174.0
3.38,0.62,19.9,385.0,,2.7,4.0
11.7,2.71,75.0,1450.0,,10.3,11.0
11.1,3.04,71.1,,,4.05,0.0
1.21,0.71,0.75,11.0,0.12,0.6,2920.0
32.5,1.8,0.0,146.0,,,41.0
21.4,1.3,0.0,97.0,,,43.0
3.08,0.24,18.6,83.0,,4.5,5.0
12.3,1.33,75.9,342.0,,12.5,17.0
2.87,4.17,17.3,112.0,0.09,4.2,249.0
3.06,0.24,18.5,83.0,0.1,4.5,219.0
3.06,0.24,18.5,83.0,0.1,4.5,219.0
2.09,0.14,21.2,88.0,,1.8,240.0
2.09,0.14,21.2,369.0,,1.8,4.0
1.53,0.15,17.3,72.0,,3.3,5.0
1.6,2.89,18.1,100.0,3.02,3.4,135.0
14.6,14.8,23.7,286.0,,1.0,602.0
18.2,15.2,20.5,292.0,,1.3,859.0
10.4,15.8,24.8,283.0,,0.7,650.0
13.7,25.4,23.0,1570.0,,0.7,782.0
12.1,21.8,15.9,1290.0,,1.8,577.0
16.8,16.1,17.4,282.0,,,562.0
13.9,15.7,13.7,1050.0,,1.4,289.0
14.5,17.1,13.5,266.0,,1.6,387.0
3.23,12.5,38.7,1170.0,,2.9,279.0
6.0,17.7,41.2,1460.0,,1.4,428.0
14.8,10.6,26.8,261.0,,1.0,461.0
2.8,19.3,29.4,1260.0,,2.3,568.0
3.86,25.2,43.6,1740.0,,2.7,776.0
12.1,14.7,26.2,1200.0,,2.4,638.0
10.3,12.4,26.7,260.0,,0.9,602.0
3.19,8.74,19.0,168.0,,0.0,100.0
10.7,12.8,18.6,974.0,,1.8,313.0
11.2,15.3,16.7,250.0,,1.0,453.0
20.1,14.3,0.24,215.0,0.13,0.0,128.0
13.1,8.96,6.92,161.0,0.37,1.8,344.0
12.6,8.53,10.6,172.0,0.25,1.0,310.0
12.0,8.1,14.2,182.0,0.12,0.2,276.0
21.2,8.22,0.24,162.0,0.13,0.0,131.0
13.7,5.91,6.92,135.0,0.37,1.8,346.0
13.1,5.48,10.6,145.0,0.25,1.0,312.0
12.5,5.05,14.2,156.0,0.12,0.2,278.0
13.1,5.48,10.6,145.0,0.25,1.0,312.0
8.09,3.46,17.3,130.0,0.49,5.7,297.0
7.07,6.3,34.0,925.0,,3.4,351.0
7.26,9.61,30.8,239.0,,4.2,587.0
8.73,11.9,39.0,1250.0,,6.9,659.0
13.3,10.7,28.3,267.0,2.18,2.0,475.0
10.8,8.32,26.0,225.0,1.63,2.0,480.0
11.2,8.57,23.8,219.0,1.7,2.5,501.0
10.5,8.06,28.2,231.0,1.55,1.5,460.0
14.0,16.8,30.5,331.0,2.7,2.1,729.0
13.8,8.09,28.3,244.0,2.18,2.0,477.0
11.1,6.48,26.0,209.0,1.63,2.0,481.0
11.5,6.74,23.8,203.0,1.7,2.5,502.0
10.8,6.22,28.2,216.0,1.55,1.5,461.0
12.8,9.75,29.6,262.0,2.23,2.1,463.0
10.2,7.18,27.3,218.0,1.65,2.1,468.0
10.6,7.45,25.0,211.0,1.73,2.6,489.0
9.84,6.91,29.6,224.0,1.57,1.6,446.0
11.2,8.57,23.8,219.0,1.7,2.5,501.0
12.9,11.0,28.3,269.0,2.18,2.0,472.0
10.5,8.55,26.0,226.0,1.63,2.0,478.0
10.9,8.81,23.8,220.0,1.7,2.5,498.0
10.2,8.29,28.2,233.0,1.55,1.5,457.0
6.93,4.9,32.2,202.0,1.6,3.2,444.0
8.13,5.18,29.5,197.0,1.71,4.9,464.0
7.41,3.95,30.8,188.0,1.74,5.1,451.0
0.28,99.5,0.0,3660.0,,0.0,2.0
0.17,59.8,0.86,533.0,0.0,0.0,615.0
2.0,1.0,89.0,373.0,5.3,0.0,1200.0
2.0,1.0,89.0,1560.0,,0.0,1200.0
0.0,100.0,0.0,900.0,,0.0,0.0
3.3,55.1,0.0,499.0,0.0,0.0,450.0
3.3,55.1,0.0,2090.0,,0.0,450.0
3.3,55.1,0.0,499.0,,0.0,36.0
0.85,82.2,0.06,743.0,0.58,0.0,524.0
0.85,81.1,0.06,3000.0,,0.0,643.0
0.85,82.2,0.06,743.0,0.58,0.0,524.0
,82.2,,,,,524.0
,81.5,,,,,10.0
0.49,78.3,0.0,731.0,0.06,0.0,583.0
0.49,78.3,0.0,3060.0,,0.0,583.0
0.85,81.1,0.06,3000.0,,0.0,11.0
3.3,55.1,0.0,499.0,0.0,0.0,450.0
0.49,78.3,0.0,731.0,0.06,0.0,583.0
0.85,82.2,0.06,743.0,0.58,0.0,524.0
0.49,78.3,0.0,731.0,0.06,0.0,583.0
0.39,0.04,3.61,14.0,,,7.0
0.11,0.13,0.38,3.0,,,4.0
0.23,0.02,2.16,8.0,,,240.0
0.23,0.02,2.16,8.0,,,4.0
3.31,1.07,4.79,40.0,4.79,0.0,148.0
3.46,1.08,4.81,,,,92.5
3.21,3.31,4.88,62.0,4.88,0.0,105.0
0.99,0.71,8.5,41.0,5.0,2.4,269.0
1.78,0.85,6.2,37.0,1.54,1.3,234.0
7.97,2.49,4.5,71.0,2.69,1.7,346.0
4.79,1.32,3.93,46.0,1.09,0.8,261.0
1.02,0.234,3.51,,,1.26,14.3
1.56,0.16,1.78,48.0,,1.0,270.0
1.56,0.16,1.78,12.0,,1.0,34.0
1.5,0.2,2.18,13.0,,1.0,65.0
1.5,0.17,2.41,14.0,,1.7,245.0
1.5,0.17,2.41,14.0,,1.7,9.0
1.2,0.2,3.23,67.0,,1.2,9.0
1.52,2.85,2.2,37.0,1.2,1.0,192.0
1.56,0.21,2.26,14.0,1.23,1.0,188.0
1.5,0.2,2.18,13.0,1.18,1.0,65.0
1.21,0.18,5.37,24.0,,2.3,18.0
1.21,0.18,5.37,24.0,,2.3,18.0
1.27,0.06,5.51,23.0,,1.9,255.0
1.33,0.1,6.04,26.0,3.33,2.6,19.0
1.27,0.06,5.51,23.0,,1.9,8.0
1.06,0.1,9.67,41.0,7.52,2.1,959.0
1.31,2.38,5.86,46.0,3.24,2.5,153.0
1.29,3.13,5.85,52.0,3.23,2.5,135.0
1.3,2.75,5.85,49.0,3.23,2.5,144.0
1.33,0.1,6.02,26.0,3.32,2.6,139.0
1.28,0.1,5.8,25.0,3.2,2.5,18.0
0.961,0.228,6.38,,,,16.1
1.6,0.1,5.67,30.0,,3.1,277.0
1.1,0.5,2.4,65.0,,1.6,498.0
1.1,0.1,5.63,116.0,,3.1,717.0
1.1,0.17,2.23,50.0,,,11.0
1.28,0.1,5.8,103.0,,2.5,18.0
1.45,2.81,7.44,55.0,3.87,2.1,153.0
1.51,0.09,6.94,122.0,,2.6,244.0
1.51,0.09,6.94,29.0,,2.6,28.0
1.19,0.15,11.0,46.0,8.05,1.7,967.0
1.43,0.16,7.37,31.0,3.83,2.1,27.0
1.43,0.16,7.37,130.0,,2.1,27.0
1.24,0.214,6.79,,,,11.7
2.02,2.75,6.16,51.0,2.29,3.1,154.0
1.8,0.09,5.41,24.0,,2.8,260.0
1.8,0.09,5.41,24.0,,2.8,24.0
2.0,0.1,6.1,113.0,,3.1,28.0
1.29,2.63,3.23,38.0,1.12,2.1,141.0
1.32,0.09,3.32,16.0,1.15,2.2,137.0
1.32,0.09,3.33,16.0,1.15,2.2,21.0
2.17,57.8,3.3,542.0,2.81,0.5,1210.0
1.47,0.23,30.7,131.0,8.82,0.2,1260.0
0.3,4.4,18.6,110.0,16.3,0.1,1150.0
4.23,3.57,6.78,76.0,1.23,1.8,225.0
2.49,6.51,53.6,279.0,31.1,0.7,36.0
8.26,0.5,37.3,189.0,1.58,3.2,971.0
2.41,17.5,52.5,376.0,39.5,0.9,280.0
2.47,17.5,53.1,379.0,39.6,1.0,280.0
3.49,10.7,31.3,228.0,18.3,1.7,214.0
2.49,17.5,51.7,373.0,38.5,1.1,287.0
3.29,15.2,52.2,345.0,37.8,1.6,295.0
3.49,15.0,51.2,341.0,36.0,1.7,305.0
2.79,14.6,54.4,355.0,40.2,1.2,296.0
3.05,14.4,53.1,349.0,38.2,1.4,306.0
5.08,13.2,43.3,303.0,21.5,2.3,387.0
2.5,15.7,54.5,368.0,40.6,1.3,311.0
3.67,17.6,50.0,358.0,34.7,2.5,297.0
3.64,9.16,45.3,276.0,28.3,1.0,411.0
4.87,29.4,37.9,410.0,34.0,2.4,119.0
2.42,13.5,51.9,339.0,38.2,0.4,304.0
3.07,15.1,52.6,347.0,38.4,1.2,305.0
2.84,14.8,53.6,352.0,39.5,1.0,304.0
6.17,19.8,47.5,388.0,32.3,2.0,332.0
2.5,17.5,51.6,373.0,38.4,1.1,280.0
2.79,14.6,54.4,355.0,40.2,1.2,296.0
2.66,19.4,56.4,410.0,42.2,0.9,311.0
2.22,12.9,50.2,326.0,37.4,0.5,283.0
2.9,15.0,52.8,349.0,38.8,0.8,313.0
3.06,14.7,51.9,345.0,37.1,0.7,324.0
2.4,14.3,55.0,359.0,41.3,0.4,313.0
2.62,14.2,53.8,353.0,39.3,0.4,325.0
4.36,12.8,44.4,310.0,23.4,0.6,419.0
2.52,17.5,51.1,371.0,38.3,0.9,280.0
6.1,0.3,58.7,257.0,30.5,0.2,511.0
5.9,0.8,57.8,1080.0,,1.5,749.0
6.1,0.3,58.7,257.0,,0.2,511.0
2.4,8.5,42.9,252.0,36.1,1.4,254.0
2.4,8.5,42.9,252.0,,1.4,254.0
5.5,22.5,25.5,321.0,,0.4,438.0
5.5,12.7,35.5,274.0,,1.9,380.0
2.4,12.5,38.0,264.0,,0.5,164.0
3.48,20.0,52.8,1630.0,,2.2,348.0
4.87,29.4,37.9,410.0,34.0,2.4,119.0
5.3,15.1,53.4,371.0,,1.6,315.0
7.0,15.2,44.3,339.0,,1.0,339.0
6.8,23.3,46.7,418.0,,2.0,351.0
6.8,23.3,46.7,418.0,,2.0,351.0
5.5,9.6,52.8,318.0,,1.2,421.0
5.0,10.8,53.8,331.0,,2.0,323.0
5.2,10.2,51.5,311.0,,2.5,385.0
3.84,17.0,30.0,286.0,16.5,0.4,234.0
2.9,9.1,61.6,324.0,27.4,3.7,101.0
2.9,9.1,61.6,324.0,,3.7,101.0
4.4,13.8,74.6,437.0,,1.7,657.0
3.9,16.4,49.2,356.0,,,327.0
3.14,1.52,64.5,285.0,42.0,0.8,357.0
3.5,12.1,50.5,319.0,,0.8,319.0
2.38,12.2,39.1,273.0,28.2,0.7,214.0
5.0,14.0,53.6,353.0,33.4,0.6,377.0
6.62,21.7,48.9,1750.0,,1.0,357.0
5.0,14.0,53.6,1480.0,,0.6,377.0
5.4,1.2,61.0,283.0,,1.1,341.0
5.2,17.9,52.5,389.0,,1.0,400.0
5.2,17.9,52.5,389.0,,1.0,400.0
5.1,9.8,79.2,415.0,,,567.0
4.6,8.14,80.2,391.0,,2.3,866.0
3.9,9.5,80.9,423.0,,0.7,665.0
3.9,9.5,81.0,423.0,,0.7,665.0
4.0,9.8,80.0,423.0,,0.7,860.0
6.1,14.2,48.5,346.0,,,506.0
3.63,15.9,60.3,1670.0,,3.2,332.0
3.71,13.0,69.4,409.0,,14.9,483.0
3.47,11.5,64.0,1560.0,,1.0,470.0
3.71,11.1,74.3,1720.0,,14.9,316.0
5.4,2.7,61.0,290.0,36.7,0.5,623.0
5.4,2.7,61.0,290.0,,0.5,623.0
7.3,4.3,57.7,297.0,,,228.0
3.31,4.73,40.1,214.0,25.9,0.9,313.0
3.28,10.4,33.8,241.0,19.2,0.9,275.0
6.48,8.72,41.9,269.0,33.4,0.3,72.0
3.0,8.4,79.6,397.0,,,260.0
4.4,10.3,63.2,356.0,,1.0,284.0
5.4,12.4,57.2,357.0,,0.8,327.0
3.16,17.8,55.4,379.0,,1.5,310.0
2.99,17.9,56.2,1640.0,,0.3,269.0
3.7,3.5,81.9,1560.0,,1.2,728.0
4.7,5.5,84.1,404.0,,1.3,604.0
5.3,14.6,53.0,361.0,,0.7,343.0
